acn,flight_phase,phase_Climb,phase_Cruise,phase_Descent,phase_Downwind,phase_FinalApproach,phase_Ground/Preflight(UAS),phase_Hovering(UAS),phase_InitialApproach,phase_InitialClimb,phase_Landing,phase_Parked,phase_ReturntoHome(UAS),phase_Takeoff/Launch,phase_Taxi,phase_flightseveraldays,phase_nan,phase_other
1668511,Descent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667868,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1667102,Takeoff / Launch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1667829,Climb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667342,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1667335,Initial Climb,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1667334,Takeoff / Launch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1667333,Descent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667329,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1667321,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1667315,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1667312,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1667304,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1667286,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1667254,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667218,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1667190,Descent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667174,Climb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667173,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667146,Initial Climb,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1667142,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1668798,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1666946,Takeoff / Launch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1666950,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1666959,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667020,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1667022,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1667350,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667046,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1667093,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1667095,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1667100,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1667114,Takeoff / Launch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1667129,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1667136,Climb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667083,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1667360,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667373,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667378,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1667609,Cruise; Climb,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667628,Descent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667630,Takeoff / Launch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1667638,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1667640,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1667652,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1667583,Initial Climb,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1667682,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1667737,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1667756,Climb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667763,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1667764,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1667770,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1667781,Takeoff / Launch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1667726,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1667836,Descent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667578,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1667569,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667385,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667409,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1667412,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1667460,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1667461,Takeoff / Launch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1667464,Climb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667570,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1667466,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1667521,Initial Climb,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1667533,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1667553,Initial Climb,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1667556,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1667557,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1667558,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1667474,Climb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1668815,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1671724,Descent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1668840,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1670654,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1670557,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1670477,Cruise; Climb; Descent,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1670404,Other Post ; flight several days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1670375,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1670339,Climb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1670281,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1670229,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1670219,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1670189,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1670166,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1670149,Descent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1670146,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1670125,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1670114,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1670103,Takeoff / Launch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1670094,Takeoff / Launch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1669902,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1669904,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1669922,Other manual gate start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1669927,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1669947,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1669977,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1670665,Climb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1669982,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1670004,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1670010,Descent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1670055,Taxi; Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1670058,Other Passenger Boarding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1670085,Initial Climb,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1670087,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1669989,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1670685,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1670741,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1670870,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1673319,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1673464,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1674407,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1675479,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1675715,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676297,Descent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1672782,Other passenger boarding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1677724,Climb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1679084,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1683446,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1686658,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1686926,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1689184,Takeoff / Launch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1767885,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1678763,Other Entire Flight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1669883,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1672702,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1672090,Takeoff / Launch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1670998,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1671006,Climb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1671011,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1671154,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1671167,Climb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1671535,Takeoff / Launch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1672429,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1671542,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1671577,Descent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1671682,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1671702,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1666942,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1671740,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1671858,Initial Climb; Cruise,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1671549,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1669881,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1669851,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1669841,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1669128,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1669135,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1669152,Descent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1669178,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1669205,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1669207,Descent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1669120,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1669218,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1669258,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1669334,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1669339,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1669371,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1669389,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1669391,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1669248,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1669398,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1669112,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1669094,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1668842,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1668851,Takeoff / Launch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1668890,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1668909,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1668922,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1668978,Takeoff / Launch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1669105,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1669004,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1669010,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1669023,Descent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1669049,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1669055,Climb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1669075,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1669076,Takeoff / Launch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1669005,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1668821,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1669422,Other PATTERN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1669444,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1669655,Cruise; Descent,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1669699,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1669732,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1669752,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1669764,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1669777,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1669653,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1669783,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1669805,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1669809,Initial Climb,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1669823,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1669827,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1669831,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1669836,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1669799,Initial Climb,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1669439,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1669646,Other Go Around,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1669620,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1669448,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1669451,Initial Climb,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1669463,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1669465,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1669471,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1669500,Climb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1669627,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1669509,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1669542,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1669545,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1669584,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1669608,Takeoff / Launch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1669614,Takeoff / Launch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1669617,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1669527,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1666939,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1667156,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1666922,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1663531,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1663528,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1663489,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1663487,Landing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1663383,Descent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1663375,Cruise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1663371,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1663338,Other Rejected Takeoff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1663335,Initial Approach,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1663259,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1663236,Descent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1663233,Takeoff / Launch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1663210,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1663203,Final Approach,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1663126,Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1663067,Parked,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1663063,Takeoff / Launch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1662620,Initial Approach; Taxi,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1662659,Takeoff / Launch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
